_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,EXTERIOR GROUNDS,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,POOLS,OTHER AMENITIES,PARKING AREAS,ELEVATOR MAINTENANCE,INTERIOR HALLWAY FLOORS,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y,BUILDING SCORE CATEGORY
1,4154961,2017,1960,2024,PRIVATE,Toronto-St. Paul's,54 RAGLAN AVE,4,16,2024-06-24,96,96,0,39,2,3,-1,2,2,3,3,3,3,3,-1,3,3,-1,-1,3,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1229,43,-79,311191,4838067,Excellent
2,4154960,2017,1967,2025,PRIVATE,Toronto-St. Paul's,100 RAGLAN AVE,13,230,2025-10-14,87,87,0,45,3,2,3,2,2,3,3,3,3,2,-1,3,3,-1,-1,1,3,3,2,3,2,2,3,3,3,3,3,2,1,2,3,3,3,S1229,43,-79,311159,4838169,Good
3,4154960,2017,1967,2023,PRIVATE,Toronto-St. Paul's,100 RAGLAN AVE,13,230,2023-09-01,86,86,0,45,3,1,2,3,3,3,3,3,2,2,-1,3,3,-1,-1,2,3,2,3,3,3,2,3,3,3,3,3,3,3,1,1,1,3,S1229,43,-79,311159,4838169,Good
4,4154939,2017,1965,2025,PRIVATE,Toronto-St. Paul's,105 RAGLAN AVE,6,34,2025-10-03,86,86,0,43,1,3,3,3,2,3,3,2,3,2,-1,3,3,-1,-1,2,3,3,2,3,2,3,2,3,3,2,3,1,3,3,1,3,3,S1229,43,-79,311192,4838258,Good
5,4154939,2017,1965,2023,PRIVATE,Toronto-St. Paul's,105 RAGLAN AVE,6,34,2023-11-22,93,93,0,42,2,2,3,3,3,3,3,3,3,2,-1,3,3,-1,-1,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,S1229,43,-79,311192,4838258,Excellent
6,4154940,2017,1967,2025,PRIVATE,Toronto-St. Paul's,111 RAGLAN AVE,23,175,2025-10-15,79,80,-1,46,2,2,3,3,1,3,3,1,3,2,-1,3,2,3,3,1,3,3,1,3,2,2,3,1,2,2,2,3,3,3,3,3,3,S1229,43,-79,311175,4838300,Good
7,4154940,2017,1967,2023,PRIVATE,Toronto-St. Paul's,111 RAGLAN AVE,23,175,2023-07-26,86,86,0,47,3,2,3,3,2,2,3,3,2,2,-1,3,2,2,3,2,3,3,3,3,2,2,2,1,2,2,3,3,3,3,3,3,3,S1229,43,-79,311175,4838300,Good
8,4154981,2017,1963,2024,PRIVATE,Toronto-St. Paul's,120 RAGLAN AVE,9,175,2024-08-29,89,90,-1,45,3,2,3,3,3,2,3,3,3,3,-1,3,2,-1,-1,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,3,3,S1229,43,-79,311124,4838304,Good
9,4154539,2018,1960,2024,PRIVATE,Eglinton-Lawrence,102 RAJAH ST,3,12,2024-07-19,65,65,0,35,1,1,1,1,2,2,-1,3,3,1,-1,2,2,-1,-1,2,-1,1,-1,2,1,3,3,3,3,1,3,1,3,1,1,1,3,N0823,43,-79,309724,4843171,Fair
10,4154538,2017,1967,2024,PRIVATE,Eglinton-Lawrence,104 RAJAH ST,3,11,2024-07-18,90,90,0,39,3,2,2,3,-1,3,2,3,3,2,3,3,3,-1,-1,3,-1,2,-1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,N0823,43,-79,309719,4843192,Good
11,4154537,2017,1957,2024,PRIVATE,Eglinton-Lawrence,108 RAJAH ST,3,12,2024-07-19,83,83,0,36,3,1,3,3,3,2,3,3,3,3,-1,3,3,-1,-1,1,-1,3,-1,3,2,3,3,3,3,3,3,3,3,1,1,1,3,N0823,43,-79,309713,4843231,Good
12,4154536,2017,1957,2025,PRIVATE,Eglinton-Lawrence,110 RAJAH ST,3,12,2025-10-28,63,64,-1,37,1,2,-1,1,1,2,1,3,2,1,-1,3,1,-1,-1,1,-1,2,-1,-1,1,1,3,3,3,3,3,1,1,3,1,1,1,N0823,43,-79,309712,4843257,Fair
13,4154536,2017,1957,2023,PRIVATE,Eglinton-Lawrence,110 RAJAH ST,3,12,2023-08-28,81,81,0,37,3,2,-1,2,2,3,2,3,3,2,-1,3,3,-1,-1,2,-1,2,-1,3,3,2,3,3,3,3,3,1,1,1,1,1,1,N0823,43,-79,309712,4843257,Good
14,4154535,2017,1957,2025,PRIVATE,Eglinton-Lawrence,112 RAJAH ST,3,12,2025-10-28,74,74,0,38,2,2,2,3,1,2,3,3,2,2,-1,3,3,-1,-1,1,-1,2,-1,-1,2,1,3,3,3,2,3,1,1,3,1,1,1,N0823,43,-79,309704,4843285,Good
15,4154535,2017,1957,2023,PRIVATE,Eglinton-Lawrence,112 RAJAH ST,3,12,2023-08-28,82,82,0,39,3,2,2,3,2,2,3,3,3,3,-1,3,3,-1,-1,2,-1,2,-1,3,2,2,3,3,3,3,3,1,1,1,1,1,1,N0823,43,-79,309704,4843285,Good
16,4152925,2017,1994,2025,TCHC,Davenport,11 RANDOLPH AVE,6,95,2025-06-17,88,88,0,46,3,2,2,1,3,3,3,3,2,3,3,2,3,-1,-1,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S0929,43,-79,308800,4835150,Good
17,4152925,2017,1994,2023,TCHC,Davenport,11 RANDOLPH AVE,6,95,2023-10-24,92,92,0,47,2,2,3,3,3,3,3,3,2,3,3,2,3,-1,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,S0929,43,-79,308800,4835150,Excellent
18,4285976,2017,1992,2023,TCHC,Davenport,55 RANKIN CRES,9,176,2023-10-05,94,94,0,45,2,2,3,3,3,2,3,3,3,3,3,3,2,-1,3,2,3,3,3,3,2,3,3,3,1,3,3,3,2,3,3,3,3,S0929,43,-79,309108,4835149,Excellent
19,4285976,2017,1992,2025,TCHC,Davenport,55 RANKIN CRES,9,176,2025-06-20,94,94,0,46,3,1,3,1,-1,3,3,3,3,3,3,3,3,-1,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,S0929,43,-79,309108,4835149,Excellent
20,4152924,2017,1992,2024,TCHC,Davenport,77 RANKIN CRES,7,121,2024-09-25,92,92,0,41,3,2,-1,2,3,3,3,3,2,3,-1,3,3,-1,-1,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,S0929,43,-79,309135,4835156,Excellent
21,4153870,2017,1959,2024,PRIVATE,Don Valley West,56 RANLEIGH AVE,4,74,2024-08-20,93,93,0,40,3,2,3,3,-1,3,3,3,3,3,3,3,1,-1,-1,3,3,3,-1,3,3,2,3,1,3,3,3,3,3,3,3,3,3,N1525,43,-79,312742,4842925,Excellent
